BIBTEXKEY,author_first,author_year,citation,study,summarized_in,pub_year,fig_table,age,age_units,age_mos,age_grp_rog,binoc_monoc,eye,n_participants,distance_cm,start_card_cyc_deg,mean_acuity_cyc_deg,lower_limit_cyc_deg,closest_card_cyc_deg,upper_limit_cyc_deg,sd,sd_units,country,card_type
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,30,monoc,NA,34,55,2.4,14.12,7.09,4.7,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,32,monoc,NA,24,55,2.4,15.22,7.99,6.4,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,34,monoc,NA,37,55,2.4,14.97,7.46,6.4,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,36,monoc,NA,32,55,2.4,14.98,5.86,6.4,NA,NA,NA,brazil,tac_i
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,2.5,binoc,NA,8,38,NA,1.18,0.41,NA,3.42,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,5,binoc,NA,14,38,NA,2.32,0.86,NA,6.26,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,8,binoc,NA,25,55,NA,4.37,2.18,NA,8.74,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,11,binoc,NA,19,55,NA,3.73,1.44,NA,9.66,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,14,binoc,NA,19,55,NA,4.62,1.67,NA,12.78,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,17,binoc,NA,15,55,NA,4.37,1.28,NA,14.92,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,20,binoc,NA,13,55,NA,5.82,1.34,NA,25.18,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,23,binoc,NA,12,55,NA,7.35,1.58,NA,34.22,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,26,binoc,NA,19,55,NA,6.93,3.21,NA,20.8,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,29,binoc,NA,12,55,NA,10.68,3.64,NA,31.37,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,32,binoc,NA,24,55,NA,10.02,2.65,NA,37.88,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,35,binoc,NA,35,55,NA,12.01,3.1,NA,46.5,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,4,monoc,NA,12,38,NA,1.97,0.55,NA,7.06,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,8.5,monoc,NA,11,55,NA,2.88,0.91,NA,9.17,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,15.5,monoc,NA,13,55,NA,4.04,1.72,NA,9.5,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,20,monoc,NA,10,55,NA,4.39,1.15,NA,16.78,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,23,monoc,NA,14,55,NA,6.91,2.08,NA,22.91,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,26,monoc,NA,29,55,NA,5.91,2.13,NA,16.41,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,29,monoc,NA,19,55,NA,7.95,3.11,NA,20.31,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,32,monoc,NA,41,55,NA,8.77,2.01,NA,38.19,NA,NA,china,tac_ii
Xiang2021-ry,Xiang,Xiang2021,"Xiang, Y., Long, E., Liu, Z., Li, X., Lin, Z., Zhu, Y., Chen, C. & Lin, H. (2021). Study to establish visual acuity norms with Teller Acuity Cards II for infants from southern China. Eye , 35(10), 2787–2792. https://doi.org/10.1038/s41433-020-01314-y",NA,NA,,table_01,NA,NA,,35,monoc,NA,59,55,NA,10.75,4.75,NA,24.34,NA,NA,china,tac_ii
Mayer1995-hi,Mayer,Mayer1995,"Mayer, D. L., Beiser, A. S., Warner, A. F., Pratt, E. M., Raye, K. N. & Lang, J. M. (1995). Monocular acuity norms for the Teller Acuity Cards between ages one month and four years. Investigative Ophthalmology & Visual Science, 36(3), 671–685. http://europepmc.org/abstract/med/7890497",NA,NA,,table_02,NA,NA,,1,monoc,NA,32,38,0.22,0.94,NA,NA,NA,0.44,octave,us,tac_i
Mayer1995-hi,Mayer,Mayer1995,"Mayer, D. L., Beiser, A. S., Warner, A. F., Pratt, E. M., Raye, K. N. & Lang, J. M. (1995). Monocular acuity norms for the Teller Acuity Cards between ages one month and four years. Investigative Ophthalmology & Visual Science, 36(3), 671–685. http://europepmc.org/abstract/med/7890497",NA,NA,,table_02,NA,NA,,1.5,monoc,NA,40,38,0.22,1.11,NA,NA,NA,0.42,octave,us,tac_i
Mayer1995-hi,Mayer,Mayer1995,"Mayer, D. L., Beiser, A. S., Warner, A. F., Pratt, E. M., Raye, K. N. & Lang, J. M. (1995). Monocular acuity norms for the Teller Acuity Cards between ages one month and four years. Investigative Ophthalmology & Visual Science, 36(3), 671–685. http://europepmc.org/abstract/med/7890497",NA,NA,,table_02,NA,NA,,2.5,monoc,NA,38,38,0.44,2.16,NA,NA,NA,0.43,octave,us,tac_i
Mayer1995-hi,Mayer,Mayer1995,"Mayer, D. L., Beiser, A. S., Warner, A. F., Pratt, E. M., Raye, K. N. & Lang, J. M. (1995). Monocular acuity norms for the Teller Acuity Cards between ages one month and four years. Investigative Ophthalmology & Visual Science, 36(3), 671–685. http://europepmc.org/abstract/med/7890497",NA,NA,,table_02,NA,NA,,4,monoc,NA,40,38,0.44,2.68,NA,NA,NA,0.47,octave,us,tac_i
Mayer1995-hi,Mayer,Mayer1995,"Mayer, D. L., Beiser, A. S., Warner, A. F., Pratt, E. M., Raye, K. N. & Lang, J. M. (1995). Monocular acuity norms for the Teller Acuity Cards between ages one month and four years. Investigative Ophthalmology & Visual Science, 36(3), 671–685. http://europepmc.org/abstract/med/7890497",NA,NA,,table_02,NA,NA,,6,monoc,NA,40,55,0.86,5.65,NA,NA,NA,0.47,octave,us,tac_i
Mayer1995-hi,Mayer,Mayer1995,"Mayer, D. L., Beiser, A. S., Warner, A. F., Pratt, E. M., Raye, K. N. & Lang, J. M. (1995). Monocular acuity norms for the Teller Acuity Cards between ages one month and four years. Investigative Ophthalmology & Visual Science, 36(3), 671–685. http://europepmc.org/abstract/med/7890497",NA,NA,,table_02,NA,NA,,9,monoc,NA,30,55,0.86,6.79,NA,NA,NA,0.43,octave,us,tac_i
Mayer1995-hi,Mayer,Mayer1995,"Mayer, D. L., Beiser, A. S., Warner, A. F., Pratt, E. M., Raye, K. N. & Lang, J. M. (1995). Monocular acuity norms for the Teller Acuity Cards between ages one month and four years. Investigative Ophthalmology & Visual Science, 36(3), 671–685. http://europepmc.org/abstract/med/7890497",NA,NA,,table_02,NA,NA,,12,monoc,NA,40,55,0.86,6.42,NA,NA,NA,0.29,octave,us,tac_i
Mayer1995-hi,Mayer,Mayer1995,"Mayer, D. L., Beiser, A. S., Warner, A. F., Pratt, E. M., Raye, K. N. & Lang, J. M. (1995). Monocular acuity norms for the Teller Acuity Cards between ages one month and four years. Investigative Ophthalmology & Visual Science, 36(3), 671–685. http://europepmc.org/abstract/med/7890497",NA,NA,,table_02,NA,NA,,18,monoc,NA,40,55,1.57,8.59,NA,NA,NA,0.37,octave,us,tac_i
Mayer1995-hi,Mayer,Mayer1995,"Mayer, D. L., Beiser, A. S., Warner, A. F., Pratt, E. M., Raye, K. N. & Lang, J. M. (1995). Monocular acuity norms for the Teller Acuity Cards between ages one month and four years. Investigative Ophthalmology & Visual Science, 36(3), 671–685. http://europepmc.org/abstract/med/7890497",NA,NA,,table_02,NA,NA,,24,monoc,NA,40,55,1.57,9.57,NA,NA,NA,0.27,octave,us,tac_i
Mayer1995-hi,Mayer,Mayer1995,"Mayer, D. L., Beiser, A. S., Warner, A. F., Pratt, E. M., Raye, K. N. & Lang, J. M. (1995). Monocular acuity norms for the Teller Acuity Cards between ages one month and four years. Investigative Ophthalmology & Visual Science, 36(3), 671–685. http://europepmc.org/abstract/med/7890497",NA,NA,,table_02,NA,NA,,30,monoc,NA,40,84,1.57,11.52,NA,NA,NA,0.48,octave,us,tac_i
Mayer1995-hi,Mayer,Mayer1995,"Mayer, D. L., Beiser, A. S., Warner, A. F., Pratt, E. M., Raye, K. N. & Lang, J. M. (1995). Monocular acuity norms for the Teller Acuity Cards between ages one month and four years. Investigative Ophthalmology & Visual Science, 36(3), 671–685. http://europepmc.org/abstract/med/7890497",NA,NA,,table_02,NA,NA,,36,monoc,NA,39,84,3.55,21.81,NA,NA,NA,0.36,octave,us,tac_i
